oznam_title,contracting_authority_name,druh_postupu,druh_zakazky,druh_obstaravatela_clean,hlavna_cinnost_clean,main_cpv_code,cpv_others,deli_sa_casti,varianty,typ_obdobie,dlzka_zakazky_cleaned,kriteria_ponuk,el_aukcia,predch_uverejnen_zakazky,ziskanie_podkladov_deadline,ucast_deadline,published_on,bude_sa_opakovat_zakazka,eu_fondy,odoslanie_oznamenia,typ_ceny_oznamenia,estimatedpricecleaned,nazov_typu_oznamenia,miesto_prac_zakazky,estimatedprice_from_result,pocet_prijatych_ponuk,pocet_prijatych_el_ponuk,total_final_value_amount_clean,total_final_value_vat_included,total_final_value_vat_rate,total_final_value_amount_minus_vat,price_ratio,overpriced,druh_obstaravatela_clean_par
"Technická podpora Microsoft Enterprise Agreement, Microsoft Select Plus a súvisiace služby","Všeobecná zdravotná poisťovňa, a.s.",Otvorená,Služby,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÉ POISTENIE,72250000-2,"{72266000-7,48000000-8}",Nie,Nie,v mesiacoch (od zadania zákazky),36,Najnižšia cena,Nie,Áno,11/24/2014 12:00:00 AM,11/24/2014 12:00:00 AM,10/16/2014 12:00:00 AM,Nie,Nie,10/13/2014 12:00:00 AM,Jedna hodnota,2377000,vyhlásenie verejnej súťaže (služby),SK0,2377000,4,0,2116134,False,"",2116134,0.890254101809003,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
"Poskytovanie pozáručného servisu lineárnych urýchľovačov v prevádzke Východoslovenského onkologického ústavu, a.s.","Východoslovenský onkologický ústav, a.s.",Otvorená,Služby,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÍCTVO,50421000-2,"",Nie,Nie,v mesiacoch (od zadania zákazky),24,Najnižšia cena,Áno,Nie,11/11/2014 12:00:00 AM,11/11/2014 12:00:00 AM,10/2/2014 12:00:00 AM,"",Nie,9/26/2014 12:00:00 AM,Jedna hodnota,228144,vyhlásenie verejnej súťaže (služby),SK042,228144,1,0,273772.8,True,20,219018.24,0.96,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Prístup k elektronickým databázam,Slovenská technická univerzita v Bratislave - Rektorát,Otvorená,Služby,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,VZDELÁVANIE,72321000-1,"",Nie,Nie,v dňoch (od zadania zákazky),0.466666666666667,Najnižšia cena,Áno,Nie,8/12/2014 12:00:00 AM,8/12/2014 12:00:00 AM,6/25/2014 12:00:00 AM,Nie,Áno,6/20/2014 12:00:00 AM,Jedna hodnota,233333,vyhlásenie verejnej súťaže (služby),SK021,233333,2,0,149508.33,False,"",149508.33,0.640750901072716,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Laboratórne zariadenie a prístroje,Ústav anorganickej chémie SAV,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,VEDA A VÝSKUM,42122510-8,"{38436500-5,38436400-4,38311100-9,33114000-2,38433100-0,42716200-0}",Nie,Nie,v mesiacoch (od zadania zákazky),2,Najnižšia cena,Áno,Nie,8/4/2014 12:00:00 AM,8/4/2014 12:00:00 AM,6/23/2014 12:00:00 AM,Nie,Áno,6/18/2014 12:00:00 AM,Jedna hodnota,320251,vyhlásenie verejnej súťaže (tovary),SK010,320251,3,0,381980,True,20,305584,0.954201548160661,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
"Zvislé dopravné značky, dopravné zariadenia a ich príslušenstvo, náhradné diely pre údržbu zvodidiel NH4.",Regionálna správa a údržba ciest Nitra a.s.,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,SPRÁVA A ÚDRŽBA CIEST,34920000-2,{34992200-9},Nie,Nie,v mesiacoch (od zadania zákazky),36,Najnižšia cena,Áno,Nie,11/10/2014 12:00:00 AM,11/10/2014 12:00:00 AM,9/25/2014 12:00:00 AM,Áno,Nie,9/23/2014 12:00:00 AM,Jedna hodnota,596000,vyhlásenie verejnej súťaže (tovary),SK023,596000,1,0,595625,False,"",595625,0.999370805369127,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Laparoskopická veža 3D,Ústredná vojenská nemocnica SNP Ružomberok - fakultná nemocnica,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÍCTVO,33164000-7,"",Nie,Nie,lehoty uskutočnenia,,Najnižšia cena,Áno,Nie,8/6/2014 12:00:00 AM,8/6/2014 12:00:00 AM,7/1/2014 12:00:00 AM,Nie,Nie,6/26/2014 12:00:00 AM,Jedna hodnota,300000,vyhlásenie verejnej súťaže (tovary),SK031,300000,5,0,148500,False,"",148500,0.495,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Dodávka zemného plynu pre objekty Prešovskej univerzity v Prešove,Prešovská univerzita v Prešove - Rektorát,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,VZDELÁVANIE,09123000-7,"",Nie,Nie,lehoty uskutočnenia,,Najnižšia cena,Áno,Áno,11/14/2014 12:00:00 AM,11/14/2014 12:00:00 AM,10/2/2014 12:00:00 AM,Nie,Nie,9/29/2014 12:00:00 AM,Jedna hodnota,1100000,vyhlásenie verejnej súťaže (tovary),SK041,1100000,3,0,1211200,True,20,968960,0.880872727272727,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Puzdro na pištol,Ministerstvo obrany Slovenskej republiky -  Akvizičná agentúra,Otvorená,Tovary,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV,OBRANA,18925200-1,"",Nie,Nie,v mesiacoch (od zadania zákazky),36,Najnižšia cena,Áno,Nie,8/15/2014 12:00:00 AM,8/15/2014 12:00:00 AM,7/3/2014 12:00:00 AM,Nie,Nie,6/30/2014 12:00:00 AM,Jedna hodnota,144713,vyhlásenie verejnej súťaže (tovary),SK,144713,1,0,144713,False,"",144713,1,yes,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV
Zabezpečenie služieb požiarnej represie vo Východoslovenských prekladiskách v Čiernej nad Tisou,"Železničná spoločnosť Cargo Slovakia, a.s.",Otvorená,Služby,INÝ VEREJNÝ OBSTARÁVATEĽ: PODĽA § 6 ODS. 1 PÍSM. F) ZÁKONA O VEREJNOM OBSTARÁVANÍ,VYKONÁVANIE DOPRAVNEJ ČINNOSTI NA DRÁHE,75251100-1,"",Nie,Nie,v mesiacoch (od zadania zákazky),24,Najnižšia cena,Nie,Áno,11/24/2014 12:00:00 AM,11/24/2014 12:00:00 AM,9/24/2014 12:00:00 AM,"",Nie,9/22/2014 12:00:00 AM,Jedna hodnota,880128,vyhlásenie verejnej súťaže (služby),SK042,880128,1,0,880128,False,"",880128,1,yes,paragraf §6
Upratovacie a čistiace služby,Úrad pre dohľad nad zdravotnou starostlivosťou,Otvorená,Služby,ŠTÁTNA AGENTÚRA/ÚRAD,ZDRAVOTNÍCTVO,90910000-9,"{90911200-8,90919200-4}",Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Áno,Nie,12/8/2014 12:00:00 AM,12/8/2014 12:00:00 AM,10/27/2014 12:00:00 AM,Nie,Nie,10/21/2014 12:00:00 AM,Jedna hodnota,153931,vyhlásenie verejnej súťaže (služby),SK010,153931,12,0,184717.2,True,20,147773.76,0.96,no,ŠTÁTNA AGENTÚRA/ÚRAD
"Zvýšenie konkurencieschopnosti a posilnenie postavenia spoločnosti TRANSBET, s.r.o. na trhu prostredníctvom aplikácie novej suspenzie pri výrobe betónových zmesí","TRANSBET, s.r.o.",Otvorená,Služby,OSOBA PODĽA § 7,STAVEBNÁ VÝROBA,71600000-4,"",Nie,Nie,v mesiacoch (od zadania zákazky),7,Najnižšia cena,Nie,Nie,10/21/2014 12:00:00 AM,10/21/2014 12:00:00 AM,9/8/2014 12:00:00 AM,"",Áno,9/4/2014 12:00:00 AM,Jedna hodnota,359912.5,vyhlásenie verejnej súťaže (služby),SK031,359912.5,3,0,357620.95,False,"",357620.95,0.993633035807314,no,paragraf §7
Dodávka elektrickej energie,Fakultná nemocnica s poliklinikou Nové Zámky,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÍCTVO,09310000-5,"",Nie,Nie,v mesiacoch (od zadania zákazky),12,Najnižšia cena,Áno,Nie,1/22/2015 12:00:00 AM,1/22/2015 12:00:00 AM,12/11/2014 12:00:00 AM,"",Nie,12/8/2014 12:00:00 AM,Jedna hodnota,422887,vyhlásenie verejnej súťaže (tovary),SK023,422887,4,0,192299,True,20,153839.2,0.363783232873084,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Vstrekovacie lisy pre jednokomponentné vstrekovanie elektro-súčiastok pre automobilový priemysel a periférne zariadenia,"TESS - SERVIS, s.r.o.",Otvorená,Tovary,§ 7 ODS. 1,PODNIKATEĽSKÁ ČINNOSŤ,42636000-3,"",Nie,Nie,v dňoch (od zadania zákazky),2,Najnižšia cena,Nie,Nie,9/22/2014 12:00:00 AM,9/22/2014 12:00:00 AM,8/7/2014 12:00:00 AM,Nie,Áno,8/4/2014 12:00:00 AM,Jedna hodnota,242128,vyhlásenie verejnej súťaže (tovary),SK021,242128,2,0,232740,False,"",232740,0.961227119540078,no,paragraf §7
Dodávka zemného plynu,Fakultná nemocnica s poliklinikou Nové Zámky,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÍCTVO,09123000-7,"",Nie,Nie,v mesiacoch (od zadania zákazky),12,Najnižšia cena,Áno,Nie,1/27/2015 12:00:00 AM,1/27/2015 12:00:00 AM,12/19/2014 12:00:00 AM,Nie,Nie,12/16/2014 12:00:00 AM,Jedna hodnota,585803,vyhlásenie verejnej súťaže (tovary),SK023,585803,2,0,635000,True,20,508000,0.86718572625951,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Nákup osobných motorových vozidiel,"Všeobecná zdravotná poisťovňa, a.s.",Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÉ POISTENIE,34110000-1,"",Nie,Nie,v mesiacoch (od zadania zákazky),3,Najnižšia cena,Áno,Nie,1/27/2015 12:00:00 AM,1/27/2015 12:00:00 AM,12/22/2014 12:00:00 AM,Nie,Nie,12/18/2014 12:00:00 AM,Jedna hodnota,300000,vyhlásenie verejnej súťaže (tovary),SK0,300000,1,0,359959.24,True,20,287967.392,0.959891306666667,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
"Nákup a naskladnenie potravinárskej pšenice, rok úrody 2014","Poľnonákup TATRY, a.s.",Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,POĽNOHOSPODÁRSTVO,03211100-4,{60000000-8},Nie,Nie,v mesiacoch (od zadania zákazky),12,Najnižšia cena,Áno,Áno,1/7/2015 12:00:00 AM,1/7/2015 12:00:00 AM,11/24/2014 12:00:00 AM,"",Nie,11/18/2014 12:00:00 AM,Jedna hodnota,4254023.68,vyhlásenie verejnej súťaže (tovary),SK041,4254023.68,2,0,4034878.25885,False,"",4034878.25885,0.948485143093985,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Stavebné a bezpečnostné opatrenia na cestách I. tried v Banskobystrickom kraji.,Slovenská správa ciest,Otvorená,Práce,ŠTÁTNA ROZPOČTOVÁ ORGANIZÁCIA,"INVESTIČNÁ VÝSTAVBA, SPRÁVA A ÚDRŽBA CIEST I. TRIEDY",45000000-7,"{45233000-9,45221100-3,45233220-7,45233320-8}",Nie,Nie,v dňoch (od zadania zákazky),6,Najnižšia cena,Nie,Áno,12/9/2014 12:00:00 AM,12/9/2014 12:00:00 AM,10/24/2014 12:00:00 AM,Nie,Áno,10/21/2014 12:00:00 AM,Jedna hodnota,23774700,vyhlásenie verejnej súťaže (stavebné práce),SK032,23774700,3,0,21137487.65,True,20,16909990.12,0.711259873731319,no,ŠTÁTNA ROZPOČTOVÁ ORGANIZÁCIA
Technologické inovácie v pekárenskej výrobe,"PEKÁREŇ, s.r.o.",Otvorená,Tovary,OSOBA PODĽA § 7 ODS. 1 ZÁKONA O VEREJNOM OBSTARÁVANÍ,PODNIKATEĽSKÁ ČINNOSŤ,42513000-5,"{39711200-1,42968000-9,39711210-4}",Nie,Nie,v mesiacoch (od zadania zákazky),3,Najnižšia cena,Áno,Nie,9/12/2014 12:00:00 AM,9/12/2014 12:00:00 AM,7/31/2014 12:00:00 AM,"",Áno,7/28/2014 12:00:00 AM,Jedna hodnota,286896.66,vyhlásenie verejnej súťaže (tovary),SK032,286896.66,3,0,284920,False,"",284920,0.993110202119467,no,paragraf §7
Brzdové klátiky pre železničné koľajové vozidlá,"Železničná spoločnosť Cargo Slovakia, a.s.",Otvorená,Tovary,§ 6 ODS. 1 PÍSM. F) ZÁKONA Č. 25/2006 Z. Z. O VEREJNOM OBSTARÁVANÍ,VYKONÁVANIE DOPRAVNEJ ČINNOSTI NA DRÁHE,34600000-3,{44470000-5},Nie,Nie,v mesiacoch (od zadania zákazky),24,Najnižšia cena,Áno,Áno,11/18/2014 12:00:00 AM,11/18/2014 12:00:00 AM,10/20/2014 12:00:00 AM,Nie,Nie,10/15/2014 12:00:00 AM,Jedna hodnota,2353500,vyhlásenie verejnej súťaže (tovary),SK0,2353500,3,0,2353500,False,"",2353500,1,yes,paragraf §6
Výskum v oblasti bezpečnosti prenosu rozsiahlych dát mobilných zariadení a príprava automatizovaných nástrojov udržiavania súkromia a privátnosti dát.,IBM International Services Centre s.r.o.,Otvorená,Služby,§ 7,POČÍTAČOVÉ SLUŽBY,73110000-6,"",Nie,Nie,v mesiacoch (od zadania zákazky),8,Najnižšia cena,Nie,Áno,9/9/2014 12:00:00 AM,9/9/2014 12:00:00 AM,7/31/2014 12:00:00 AM,"",Áno,7/25/2014 12:00:00 AM,Jedna hodnota,1400000,vyhlásenie verejnej súťaže (služby),SK010,1400000,2,0,1395000,False,"",1395000,0.996428571428571,no,paragraf §7
Špeciálny zdravotnícky materiál ku kryoablácii,"Východoslovenský ústav srdcových a cievnych chorôb, a.s.",Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÍCTVO,33165000-4,"",Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Áno,Nie,12/8/2014 12:00:00 AM,12/8/2014 12:00:00 AM,10/27/2014 12:00:00 AM,Nie,Nie,10/22/2014 12:00:00 AM,Jedna hodnota,581240,vyhlásenie verejnej súťaže (tovary),SK042,581240,1,0,581240,False,"",581240,1,yes,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Inovácia výrobného postupu pre zvýšenie konkurencieschopnosti firmy ESOX,Esox s.r.o.,Otvorená,Tovary,PODNIKATEĽSKÝ SUBJEKT - OSOBA PODĽA § 7 ODS. (1) ZÁKONA O VO,VÝROBA OSTATNÝCH PLASTOVÝCH VÝROBKOV,42900000-5,{51540000-9},Nie,Nie,v mesiacoch (od zadania zákazky),7,Najnižšia cena,Áno,Nie,9/24/2014 12:00:00 AM,9/24/2014 12:00:00 AM,8/13/2014 12:00:00 AM,Nie,Áno,8/8/2014 12:00:00 AM,Jedna hodnota,332950,vyhlásenie verejnej súťaže (tovary),SK031,332950,3,0,330000,False,"",330000,0.9911398107824,no,paragraf §7
Vysekávací valcový automat,EURY - PACK System s.r.o.,Otvorená,Tovary,OSOBA PODĽA §7 ODS. 1 ZÁKONA 25/2006 Z.Z. O VEREJNOM OBSTARÁVANÍ,VÝROBA OBALOV,42633000-2,{22521000-8},Nie,Nie,v dňoch (od zadania zákazky),5,Najnižšia cena,Nie,Nie,2/17/2015 12:00:00 AM,2/17/2015 12:00:00 AM,12/30/2014 12:00:00 AM,Nie,Áno,12/28/2014 12:00:00 AM,Jedna hodnota,440200,vyhlásenie verejnej súťaže (tovary),SK032,440200,2,0,440200,False,"",440200,1,yes,paragraf §7
I/50 Košice Sečovská cesta - Ďurďošík TEN-T,Slovenská správa ciest,Otvorená,Práce,ŠTÁTNA ROZPOČTOVÁ ORGANIZÁCIA,"INVESTIČNÁ VÝSTAVBA, SPRÁVA A ÚDRŽBA CIEST I.TRIEDY",45000000-7,"{45233000-9,45221100-3,45233220-7,45233320-8}",Nie,Nie,v dňoch (od zadania zákazky),6,Najnižšia cena,Nie,Áno,1/26/2015 12:00:00 AM,1/26/2015 12:00:00 AM,12/1/2014 12:00:00 AM,Nie,Áno,11/26/2014 12:00:00 AM,Jedna hodnota,8886000,vyhlásenie verejnej súťaže (stavebné práce),SK042,8886000,4,0,6485870.92,False,"",6485870.92,0.729897695250957,no,ŠTÁTNA ROZPOČTOVÁ ORGANIZÁCIA
"Robotizované zariadenie na zakladanie sušeného ovocia, jadrovín a orechov do košíkov",CORPE s.r.o.,Otvorená,Tovary,PRÁVNICKÁ OSOBA,INÉ SPRACOVANIE A KONZERVOVANIE OVOCIA A ZELENINY,42900000-5,"",Nie,Nie,v mesiacoch (od zadania zákazky),6,Iné,Áno,Nie,9/16/2014 12:00:00 AM,9/16/2014 12:00:00 AM,8/6/2014 12:00:00 AM,"",Áno,8/1/2014 12:00:00 AM,Jedna hodnota,285000,vyhlásenie verejnej súťaže (tovary),SK,285000,2,0,280000,False,"",280000,0.982456140350877,no,PRÁVNICKÁ OSOBA
Oftalmologické prístroje,Fakultná nemocnica s poliklinikou J. A. Reimana v Prešove,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÍCTVO,33122000-1,"{33115000-9,33162100-4,51410000-9,80510000-2}",Nie,Nie,v dňoch (od zadania zákazky),2,Najnižšia cena,Áno,Áno,12/15/2014 12:00:00 AM,12/15/2014 12:00:00 AM,10/31/2014 12:00:00 AM,Nie,Nie,10/28/2014 12:00:00 AM,Jedna hodnota,214800,vyhlásenie verejnej súťaže (tovary),SK041,214800,3,0,193800,True,20,155040,0.721787709497207,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Komplexné zabezpečenie riešenia odpadového hospodárstva v katastrálnom území mesta Vrútky,Mesto Vrútky,Otvorená,Služby,REGIONÁLNY ALEBO MIESTNY ORGÁN,VŠEOBECNÉ VEREJNÉ SLUŽBY,90500000-2,"{90511100-3,90512000-9}",Nie,Nie,v mesiacoch (od zadania zákazky),12,Najnižšia cena,Áno,Nie,12/1/2014 12:00:00 AM,12/1/2014 12:00:00 AM,10/20/2014 12:00:00 AM,Nie,Nie,10/15/2014 12:00:00 AM,Jedna hodnota,280000,vyhlásenie verejnej súťaže (služby),SK031,280000,1,0,312879.44,False,"",312879.44,1.11742657142857,yes,REGIONÁLNY ALEBO MIESTNY ORGÁN
Dodávka a montáž 3D laparoskopickej veže.,Národný onkologický ústav,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÍCTVO,33168000-5,"",Nie,Nie,v mesiacoch (od zadania zákazky),2,Najnižšia cena,Áno,Áno,8/12/2014 12:00:00 AM,8/12/2014 12:00:00 AM,6/26/2014 12:00:00 AM,Nie,Nie,6/23/2014 12:00:00 AM,Jedna hodnota,230000,vyhlásenie verejnej súťaže (tovary),SK010,230000,4,0,137030.23,False,"",137030.23,0.595783608695652,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
